uniprot	pca0	pca1	pca2	pca3	pca4	pca5
RAB6A	2.1620722042088834	1.725687107907484	3.0096975683066436	2.1138249413911945	2.0375244784851647	2.6491065088370456
RBP10	3.036554355856456	1.7321450904962155	2.7874133850437355	2.41649293616891	1.720831970644532	1.9686201818107096
RAB9B	1.8087854338750513	1.8894213494933192	2.8986811827452255	2.1392852016777346	2.147060900815785	2.1796792199155695
RB39A	1.6497102134517534	1.7796797682049788	2.406718069900431	1.722159836759702	2.3086317926248636	2.0120531200135705
RBGPR	2.636188648766474	1.4767258990830938	2.634019257063448	2.4728922401506797	2.1703415507436423	2.0790583062904857
RA51C	3.117598215188562	1.950218146500034	2.883630078559074	2.5035611213279987	1.9398102819323526	2.442091917005032
RAB3D	1.9261671371127067	1.8791671336936269	3.1286578078144034	2.2665785820620292	2.037712697314123	2.410610145248369
RAF1	2.7270872360353686	2.9779584160981605	3.20701243065285	2.6954628291767793	3.4401413179648825	2.79546329068077
RAB1C	1.9094185227350422	1.7630496711673045	2.9316961324895687	2.635252834184482	2.322812213639564	2.1604944168811686
RIMKB	2.6560111910632833	1.5888995904601673	2.210586618804834	2.10134074327028	3.01835431596888	2.3177943639558007
RM42	2.3104208165698474	1.3912752964190682	1.756282862472542	1.5446457914952074	2.1404554074980515	2.2471923232484974
RS13	2.8087325129389416	1.8589915784346562	2.5919665015629043	2.343445477196518	1.4550019473546907	2.7782994107106758
RTKN2	2.3576754725856417	1.3664303692264013	1.7897947778191614	1.6345454440774245	2.1355660851819303	2.021538937675524
RXRA	3.9383144051754297	3.8980826876061525	2.432190865454093	2.3508105002729973	1.8187919554372676	2.475235528750105
S1PR1	0.5280529499514064	2.6888836917558874	2.8368482243420323	2.5532483889718938	1.5817991251447419	2.2868103805596673
S1PR4	0.48420201256856776	2.517576814128801	2.3396575140970426	1.6551572784174813	1.9548486520528057	1.8565169914566857
RTP5	1.1677928431955076	2.119321385526728	2.3694086635460296	1.1488390880566457	2.132130851809913	2.104064881110405
S14L1	2.635727804079255	1.4319042777142856	2.525148380005843	2.2974870668374074	2.1441268482020024	1.8470962905655697
SAST	2.6012708241144655	1.2973315712695341	2.2384891330993124	2.0782148242706167	2.2717661020086024	2.04819417187387
S5A1	1.1239694688171324	2.1437825023903816	2.4222111932617256	1.1098554296238594	2.1563341312460733	2.1842408643777627
S4A4	0.4866825336185381	2.6645936705240425	2.85673912778737	2.495786008377055	1.811309105757633	2.365753632221121
SCRN2	2.468665832619463	1.5328832736602287	2.1979751976369166	2.015897869121466	1.938796443994643	2.3016611093660915
SCGR6	2.369544897275934	1.6785249267477895	1.5818016977760387	1.8464955654133188	2.3624230601628184	1.6930357436460082
SAMP	1.6354772149715013	1.8913085496002466	0.672674063533232	2.9584769204772603	2.279911913665004	2.6307565316188177
